content,temp_list,content_length
it's soft. but won't last very long still useful . thank you smiling_face_with_smiling_eyessmiling_face_with_smiling_eyessmiling_face_with_smiling_eyessmiling_face_with_smiling_eyessmiling_face_with_smiling_eyessmiling_face_with_smiling_eyes,"[""it's"", 'soft.', 'but', ""won't"", 'last', 'very', 'long', 'still', 'useful', '.', 'thank', 'you', '😊😊😊😊😊😊']",67
"true to size, selesa, berbaloi dengan harga, overall okay","['True', 'to', 'size,', 'selesa,', 'berbaloi', 'dengan', 'harga,', 'overall', 'okay']",57
barang sampai dengan jayanya. penghantaran amat cepat dan blh repeat lagi,"['barang', 'sampai', 'dengan', 'jayanya.', 'penghantaran', 'amat', 'cepat', 'dan', 'blh', 'repeat', 'lg']",71
"very good quality, cotton, worth the price, received in good condition","['Very', 'good', 'quality,', 'cotton,', 'worth', 'the', 'price,', 'received', 'in', 'good', 'condition']",70
receive the package in good condition,"['Receive', 'the', 'package', 'in', 'good', 'condition']",37
"received in good condition, good quality and fast delivery, thanks.","['Received', 'in', 'good', 'condition,', 'good', 'quality', 'and', 'fast', 'delivery,', 'thanks.']",67
bahan:baik saiz:all ok tq sales,"['Bahan:baik', 'Saiz:all', 'ok', 'tq', 'sales']",31
"barang tak sesuai gambar,tp bolehlh sesuai harga","['barang', 'tak', 'sesuai', 'gambar,tp', 'bolehlh', 'sesuai', 'harga']",48
yeay . selipar sudah sampai . cantik sangat . muat . first time beli dekat sini . nanti boleh beli lagi . tq seller 🥰,"['yeay', '.', 'Selipar', 'dah', 'sampai', '.', 'Cantik', 'sangat', '.', 'Muat', '.', 'First', 'time', 'beli', 'kat', 'sini', '.', 'Nanti', 'boleh', 'beli', 'lagi', '.', 'Tq', 'seller', '🥰']",113
yeay . selipar sudah sampai . overall semua okay . first time beli dekat sini . tq seller 🥰,"['yeay', '.', 'Selipar', 'dah', 'sampai', '.', 'Overall', 'semua', 'okay', '.', 'First', 'time', 'beli', 'kat', 'sini', '.', 'Tq', 'seller', '🥰']",87
"beli slipper ini selepas kwn office bagi percuma, her buy at lazada also. so this time i buy pairs overall nica and harga berbaloi baloigrinning_face","['beli', 'slipper', 'ni', 'selepas', 'kwn', 'office', 'bg', 'percuma,', 'her', 'buy', 'at', 'lazada', 'also.', 'so', 'this', 'time', 'i', 'buy', '3', 'pairs', 'overall', 'nica', 'n', 'harga', 'berbaloi', 'baloi😀']",134
one size smaller. normally wearing () now but - is good. sandal is light weighted and foam material. i think it’s good and value for money. yellow colour is lemon yellow. buy for bathroom use.,"['One', 'size', 'smaller.', 'Normally', 'wearing', '39', '(250)', 'now', 'but', '40-41', 'is', 'good.', 'Sandal', 'is', 'light', 'weighted', 'and', 'foam', 'material.', 'I', 'think', 'it’s', 'good', 'and', 'value', 'for', 'money.', 'Yellow', 'colour', 'is', 'lemon', 'yellow.', 'Buy', 'for', 'bathroom', 'use.']",202
tq seller barang sudah sampai kenapa ringan sangat kasut ini,"['tq', 'seller', 'barang', 'dh', 'Sampai', 'kenapa', 'ringan', 'sgt', 'kasut', 'ni']",53
"affordable price for the quality, non-slip sole for safety, great for indoor and outdoor use, variety of colors to choose from, perfect fit for my feet, satisfied the product with this price","['Affordable', 'price', 'for', 'the', 'quality,', 'Non-slip', 'sole', 'for', 'safety,', 'Great', 'for', 'indoor', 'and', 'outdoor', 'use,', 'Variety', 'of', 'colors', 'to', 'choose', 'from,', 'Perfect', 'fit', 'for', 'my', 'feet,', 'satisfied', 'the', 'product', 'with', 'this', 'price']",190
"fast delivery and good packaging * tq seller. good work. variety of colors to choose from, provides excellent support, soft and thick material, easy to clean and maintain, perfect fit for my feet. tq. mr tan","['Fast', 'delivery', 'and', 'good', 'packaging', '*', 'TQ', 'seller.', 'Good', 'work.', 'Variety', 'of', 'colors', 'to', 'choose', 'from,', 'Provides', 'excellent', 'support,', 'Soft', 'and', 'thick', 'material,', 'Easy', 'to', 'clean', 'and', 'maintain,', 'Perfect', 'fit', 'for', 'my', 'feet.', 'TQ.', 'Mr', 'Tan']",207
"fast delivery and good packaging * tq seller and deliver person * ** ** thanks seller. good job. mr tan provides excellent support, comfortable and stylish design, perfect fit for my feet, soft and thick material, great for indoor and outdoor use.","['Fast', 'delivery', 'and', 'good', 'packaging', '*', 'TQ', 'seller', 'and', 'deliver', 'person', '*', '**', '**', 'thanks', 'seller.', 'Good', 'job.', 'Mr', 'Tan', 'Provides', 'excellent', 'support,', 'Comfortable', 'and', 'stylish', 'design,', 'Perfect', 'fit', 'for', 'my', 'feet,', 'Soft', 'and', 'thick', 'material,', 'Great', 'for', 'indoor', 'and', 'outdoor', 'use.']",247
"fast delivery and good packaging * tq seller and deliver person. ** ** *tq seller. keep up the good work. tq. mr tan. provides excellent support, variety of colors to choose from, great for indoor and outdoor use, perfect fit for my feet, affordable price for the quality. variety of colors to choose from.","['Fast', 'delivery', 'and', 'good', 'packaging', '*', 'TQ', 'seller', 'and', 'deliver', 'person.', '**', '**', '*TQ', 'seller.', 'Keep', 'up', 'the', 'good', 'work.', 'TQ.', 'Mr', 'Tan.', 'Provides', 'excellent', 'support,', 'Variety', 'of', 'colors', 'to', 'choose', 'from,', 'Great', 'for', 'indoor', 'and', 'outdoor', 'use,', 'Perfect', 'fit', 'for', 'my', 'feet,', 'Affordable', 'price', 'for', 'the', 'quality.', 'Variety', 'of', 'colors', 'to', 'choose', 'from.']",306
"fast delivery and good packaging * tq seller. variety of colors to choose from, perfect fit for my feet, affordable price for the quality, soft and thick material. good job. thanks. mr tan","['Fast', 'delivery', 'and', 'good', 'packaging', '*', 'TQ', 'seller.', 'Variety', 'of', 'colors', 'to', 'choose', 'from,', 'Perfect', 'fit', 'for', 'my', 'feet,', 'Affordable', 'price', 'for', 'the', 'quality,', 'Soft', 'and', 'thick', 'material.', 'Good', 'job.', 'Thanks.', 'Mr', 'Tan']",188
"fast delivery and good packaging. tq seller and deliver person * ** ** thanks seller. perfect fit for my feet, variety of colors to choose from, soft and thick material, provides excellent support. mr tan*****","['Fast', 'delivery', 'and', 'good', 'packaging.', 'TQ', 'seller', 'and', 'deliver', 'person', '*', '**', '**', 'thanks', 'seller.', 'Perfect', 'fit', 'for', 'my', 'feet,', 'Variety', 'of', 'colors', 'to', 'choose', 'from,', 'Soft', 'and', 'thick', 'material,', 'Provides', 'excellent', 'support.', 'Mr', 'Tan*****']",209
"fast delivery and good packaging * tq seller and deliver person. ** ** * tq seller. perfect fit for my feet, soft and thick material, durable and long-lasting, variety of colors to choose from. mr tan","['Fast', 'delivery', 'and', 'good', 'packaging', '*', 'TQ', 'seller', 'and', 'deliver', 'person.', '**', '**', '*', 'TQ', 'seller.', 'Perfect', 'fit', 'for', 'my', 'feet,', 'Soft', 'and', 'thick', 'material,', 'Durable', 'and', 'long-lasting,', 'Variety', 'of', 'colors', 'to', 'choose', 'from.', 'Mr', 'Tan']",200
the thickness of the slipper is not what is seen in the picture. size:size is correct,"['the', 'thickness', 'of', 'the', 'slipper', 'is', 'not', 'what', 'is', 'seen', 'in', 'the', 'picture.', 'Size:size', 'is', 'correct']",86
"great for indoor and outdoor use, fast delivery","['Great', 'for', 'indoor', 'and', 'outdoor', 'use,', 'fast', 'delivery']",47
terbaik terima kasih barang sudah sampai,"['terbaik', 'terima', 'kasih', 'barang', 'sudah', 'sampai']",40
terima kasih barang sudah sampai,"['terima', 'kasih', 'barang', 'sudah', 'sampai']",32
terbaik barang sudah sampai,"['terbaik', 'barang', 'sudah', 'sampai']",27
sandal sudah sampai. dibungkus kemas dan elok. dalam keadaan okay dan cantik. size .++. recommended thumbs_up.,"['sandal', 'dah', 'sampai.', 'dibungkus', 'kemas', 'dan', 'elok.', 'dalam', 'keadaan', 'okay', 'dan', 'cantik.', 'size', 'ngam2', '23.5cm++.', 'recommended', '👍.']",111
sandal sudah sampai. dibungkus kemas dan elok. dalam keadaan okay dan cantik. size .++. recommended thumbs_up.,"['sandal', 'dah', 'sampai.', 'dibungkus', 'kemas', 'dan', 'elok.', 'dalam', 'keadaan', 'okay', 'dan', 'cantik.', 'size', 'ngam2', '23.5cm++.', 'recommended', '👍.']",111
"perfect fit for my feet, perfect fit for my feet, non-slip sole for safety,","['Perfect', 'fit', 'for', 'my', 'feet,', 'Perfect', 'fit', 'for', 'my', 'feet,', 'Non-slip', 'sole', 'for', 'safety,']",75
bought slippers for walking around the house. fitting a bit wide. light slippers.,"['Bought', 'slippers', 'for', 'walking', 'around', 'the', 'house.', 'Fitting', 'a', 'bit', 'wide.', 'Light', 'slippers.']",82
good lightweight slippers. for kitchen use hence the bigger size.,"['Good', 'lightweight', 'slippers.', 'For', 'kitchen', 'use', 'hence', 'the', 'bigger', 'size.']",66
everything arrived safely. slippers are light. i think they float in water. good for lounging around the house. the fitting is a bit on the wide size.,"['Everything', 'arrived', 'safely.', 'Slippers', 'are', 'light.', 'I', 'think', 'they', 'float', 'in', 'water.', 'Good', 'for', 'lounging', 'around', 'the', 'house.', 'The', 'fitting', 'is', 'a', 'bit', 'on', 'the', 'wide', 'size.']",154
"affordable price for the quality,","['Affordable', 'price', 'for', 'the', 'quality,']",33
"great for indoor and outdoor use,","['Great', 'for', 'indoor', 'and', 'outdoor', 'use,']",33
"great for indoor and outdoor use,","['Great', 'for', 'indoor', 'and', 'outdoor', 'use,']",33
okay lah ... tetapi selipar agak nipis,"['okay', 'lah', '...', 'tapi', 'selipar', 'agak', 'nipis']",36
selipar agak nipis...boleh lah....,"['selipar', 'agak', 'nipis...boleh', 'lah....']",34
cheap!. can use it a long time .,"['cheap!.', 'can', 'use', 'it', 'a', 'long', 'time', '.']",32
ok...ngam...terima kasih,"['ok...ngam...terima', 'kasih']",24
warna putih yang sampai...tapi oklah...saiz ngam...terima kasih,"['warna', 'putih', 'yg', 'sampai...tapi', 'oklah...saiz', 'ngam...terima', 'kasih']",61
size:-,['Size:40-41'],10
tq seller received is good. everything is ok,"['TQ', 'seller', 'received', 'is', 'good.', 'everything', 'is', 'ok']",44
good excellent by the seller,"['Good', 'excellent', 'by', 'the', 'seller']",28
saiz:saiz yang tepat,"['Saiz:saiz', 'yg', 'tepat']",18
material: good quality size: design: normal slipper women sandal man unisex soft,"['Material:', 'good', 'quality', 'Size:', '42', '43', 'Design:', 'normal', 'slipper', 'women', 'sandal', 'man', 'unisex', 'soft']",90
，,['买2个不同颜色，来2双黄色的'],14
不是我要的颜色，还可以吧,['不是我要的颜色，还可以吧'],12
this is the colour i ordered anyway thank you !,"['This', 'is', 'the', 'colour', 'I', 'ordered', 'anyway', 'thank', 'you', '!']",48
ok barang sudah sampai dengan selamat. di terima dalam keadaan baik thumbs_uplight_skin_tone terima kasih,"['ok', 'barang', 'dah', 'sampai', 'dengan', 'selamat.', 'di', 'terima', 'dalam', 'keadaan', 'baik', '👍🏻', 'terima', 'kasih']",81
ok barang sudah sampai dengan selamat. di terima dalam keadaan baik thumbs_uplight_skin_tone terima kasih,"['ok', 'barang', 'dah', 'sampai', 'dengan', 'selamat.', 'di', 'terima', 'dalam', 'keadaan', 'baik', '👍🏻', 'terima', 'kasih']",81
the sole is too thin. over estimated the product,"['The', 'sole', 'is', 'too', 'thin.', 'Over', 'estimated', 'the', 'product']",48
quality does not match as advertised..sole too thin,"['Quality', 'does', 'not', 'match', 'as', 'advertised..sole', 'too', 'thin']",51
i ordered light blue but sent me a black,"['I', 'ordered', 'light', 'blue', 'but', 'sent', 'me', 'a', 'black']",40
harga murah size:ok material:belum cuba,"['Harga', 'murah', 'Size:ok', 'Material:belum', 'cuba']",43
"received in well packing, nice color and cheap","['Received', 'in', 'well', 'packing,', 'nice', 'color', 'n', 'cheap']",44
"received in well packing, cheap and value for money.","['Received', 'in', 'well', 'packing,', 'cheap', 'and', 'Value', 'for', 'money.']",52
"was surprised that i got the parcel today, so much earlier that i expected. well packaged. slippers in good condition.","['was', 'surprised', 'that', 'I', 'got', 'the', 'parcel', 'today,', 'so', 'much', 'earlier', 'that', 'I', 'expected.', 'well', 'packaged.', 'slippers', 'in', 'good', 'condition.']",118
goods received in good condition.,"['goods', 'received', 'in', 'good', 'condition.']",33
ok. good product with ini e color,"['ok.', 'good', 'product', 'with', 'ni', 'e', 'color']",32
"material: good quality, material good , soft and comfortable","['Material:', 'good', 'quality,', 'material', 'good', ',', 'soft', 'n', 'comfortable']",58
"material: good quality, well packaged, good condition","['Material:', 'good', 'quality,', 'well', 'packaged,', 'good', 'condition']",53
item received in good condition. the quality is versi good and meets with my expectation. thank you,"['Item', 'received', 'in', 'good', 'condition.', 'The', 'quality', 'is', 'versi', 'good', 'and', 'meets', 'with', 'my', 'expectation.', 'Thank', 'you']",100
the item received in good condition. very satisfied with the quality. thank you,"['The', 'item', 'received', 'in', 'good', 'condition.', 'Very', 'satisfied', 'with', 'the', 'quality.', 'Thank', 'you']",79
"material: plastic size: true to size design: as mentioned super fast shipping fyi, not thick sole sandal plastic","['Material:', 'plastic', 'Size:', 'true', 'to', 'size', 'Design:', 'as', 'mentioned', 'super', 'fast', 'shipping', 'fyi,', 'not', 'thick', 'sole', 'sandal', 'plastic']",123
"material: plastic size: true to size design: as mentioned super fast shipping fyi, not thick sole sandal","['Material:', 'plastic', 'Size:', 'true', 'to', 'size', 'Design:', 'as', 'mentioned', 'super', 'fast', 'shipping', 'fyi,', 'not', 'thick', 'sole', 'sandal']",110
barang yang dipesan semua sudah selamat sampai dengan selamat.,"['Barang', 'yang', 'dipesan', 'semua', 'dah', 'selamat', 'sampai', 'dengan', 'selamat.']",60
barang yang dipesan semua sudah selamat sampai dengan selamat.,"['Barang', 'yang', 'dipesan', 'semua', 'dah', 'selamat', 'sampai', 'dengan', 'selamat.']",60
fast delivery and received in good condition thank you so much,"['fast', 'delivery', 'and', 'received', 'in', 'good', 'condition', 'thank', 'you', 'so', 'much']",62
fast delivery and received in good condition thank you very much,"['fast', 'delivery', 'and', 'received', 'in', 'good', 'condition', 'thank', 'you', 'very', 'much']",64
fast delivery and received in good condition thank you very much,"['fast', 'delivery', 'and', 'received', 'in', 'good', 'condition', 'thank', 'you', 'very', 'much']",64
fast delivery and received in good condition thank you so much.,"['fast', 'delivery', 'and', 'received', 'in', 'good', 'condition', 'thank', 'you', 'so', 'much.']",63
fast delivery and received in good condition thank you so much,"['fast', 'delivery', 'and', 'received', 'in', 'good', 'condition', 'thank', 'you', 'so', 'much']",62
fast delivery and received in good condition thank you very much,"['fast', 'delivery', 'and', 'received', 'in', 'good', 'condition', 'thank', 'you', 'very', 'much']",64
"ordered two pairs same size of shoes but come different size, but still ok already accepted it","['Ordered', 'two', 'pairs', 'same', 'size', 'of', 'shoes', 'but', 'come', 'different', 'size,', 'but', 'still', 'OK', 'already', 'accepted', 'it']",94
fast delivery and received in good condition.the slippers are thin and light not thicksmiling_face_with_open_mouth_&_cold_sweatsmiling_face_with_open_mouth_&_cold_sweatsmiling_face_with_open_mouth_&_cold_sweat.but anyway what u pay and what u get.tq seller,"['Fast', 'delivery', 'n', 'received', 'in', 'good', 'condition.The', 'slippers', 'are', 'thin', 'n', 'light', 'not', 'thick😅😅😅.But', 'anyway', 'what', 'u', 'pay', 'n', 'what', 'u', 'get.Tq', 'seller']",130
fast delivery and received in good condition.the slippers are thin and light not thicksmiling_face_with_open_mouth_&_cold_sweatsmiling_face_with_open_mouth_&_cold_sweatsmiling_face_with_open_mouth_&_cold_sweat.but anyway what u pay and what u get.tq seller,"['Fast', 'delivery', 'n', 'received', 'in', 'good', 'condition.The', 'slippers', 'are', 'thin', 'n', 'light', 'not', 'thick😅😅😅.But', 'anyway', 'what', 'u', 'pay', 'n', 'what', 'u', 'get.Tq', 'seller']",130
fast deliver good service value for money excellent service by seller,"['Fast', 'deliver', 'good', 'service', 'value', 'for', 'money', 'excellent', 'service', 'by', 'seller']",69
good quality and fast delivery,"['good', 'quality', 'and', 'fast', 'delivery']",30
good quality and fast delivery,"['good', 'quality', 'and', 'fast', 'delivery']",30
fast deliver good service value for money excellent service by seller,"['Fast', 'deliver', 'good', 'service', 'value', 'for', 'money', 'excellent', 'service', 'by', 'seller']",69
fast deliver good service value for money excellent service by seller,"['Fast', 'deliver', 'good', 'service', 'value', 'for', 'money', 'excellent', 'service', 'by', 'seller']",69
good quality and fast delivery,"['good', 'quality', 'and', 'fast', 'delivery']",30
perfect! ringan selesa pakai thumbs_uplight_skin_tone,"['Perfect!', 'Ringan', 'Selesa', 'pakai', '👍🏻']",33
good thumbs_uplight_skin_tone,"['Good', '👍🏻']",7
"barang murah dan terbaik, di bungkus dengan kemas, akan beli lagi","['barang', 'murah', 'dan', 'terbaik,', 'di', 'bungkus', 'dengan', 'kemas,', 'akan', 'beli', 'lagi']",65
"barang murah dan terbaik, di bungkus dengan kemas, akan beli lagi","['barang', 'murah', 'dan', 'terbaik,', 'di', 'bungkus', 'dengan', 'kemas,', 'akan', 'beli', 'lagi']",65
cantik ...,"['same2', 'cantik', '...']",16
saiz:/ bahan:cantik dan kemas bahan:berkualiti,"['Saiz:36/37', 'Bahan:cantik', 'dan', 'kemas', 'Bahan:berkualiti']",52
barang pesanan selamat sampai di rumah. sekian.terima kasih. thumbs_upOK_handgrinning_face_with_smiling_eyes,"['barang', 'pesanan', 'selamat', 'sampai', 'di', 'rumah.', 'sekian.terima', 'kasih.', '👍👌😁']",66
material:good quality and comfortable size:really compatible with my size design:nice lookred_heart️red_heart️red_heart️,"['Material:good', 'quality', 'and', 'comfortable', 'Size:really', 'compatible', 'with', 'my', 'size', 'Design:nice', 'look❤️❤️❤️']",99
beli untuk mak pkai dalam blil air..mudah pkai .terbaik harga pun murah.tq seller,"['beli', 'untuk', 'mak', 'pkai', 'dlm', 'blil', 'air..mudah', 'pkai', '.terbaik', 'harga', 'pun', 'murah.tq', 'seller']",79
terbaik harga pun murah...beri mak pkai dalam blik air mudah sauk je,"['terbaik', 'harga', 'pun', 'murah...beri', 'mak', 'pkai', 'dlm', 'blik', 'air', 'mudah', 'sauk', 'je']",66
first time purchase with seller. fast deliver and good packing. excellent service.,"['First', 'time', 'purchase', 'with', 'seller.', 'Fast', 'deliver', 'and', 'good', 'packing.', 'Excellent', 'service.']",82
"good product....,...................................","['good', 'product....,...................................']",52
"good product....,...................................","['good', 'product....,...................................']",52
"value buy, fast shipping and delivery. comfortable for home use.","['Value', 'buy,', 'fast', 'shipping', 'and', 'delivery.', 'Comfortable', 'for', 'home', 'use.']",64
material:very thin suitable for indoor size:ngam design:good (*´i`*) fast delivery tq,"['Material:very', 'thin', 'suitable', 'for', 'indoor', 'Size:ngam', 'Design:good', '(*´I`*)', 'fast', 'delivery', 'tq']",88
"received the product with satisfaction. the exact colour i ordered. it is light and comfortable, just the type i was looking for. thanks vendor.","['Received', 'the', 'product', 'with', 'satisfaction.', 'The', 'exact', 'colour', 'I', 'ordered.', 'It', 'is', 'light', 'and', 'comfortable,', 'just', 'the', 'type', 'I', 'was', 'looking', 'for.', 'Thanks', 'Vendor.']",146
物流很快，好像三天就收到了。 鞋子颜色ok，尺寸刚好， 就是鞋底很薄，踩了好像踩在地上face_with_tears_of_joy 之前是想找厚底的。,"['物流很快，好像三天就收到了。', '鞋子颜色ok，尺寸刚好，', '就是鞋底很薄，踩了好像踩在地上😂', '之前是想找厚底的。']",54
received with good condition. slipper very thin.,"['received', 'with', 'good', 'condition.', 'slipper', 'very', 'thin.']",48
i like it!! thumbs_upthumbs_up,"['I', 'like', 'it!!', '👍👍']",14
"wrong colour,my order is black.both pairs are wrong.frowning_face️frowning_face️frowning_face️","['Wrong', 'colour,My', 'order', 'is', 'black.Both', 'pairs', 'are', 'wrong.☹️☹️☹️']",58
"material:ringan lembut bila pijak size:muat design:cantik macam jahit sulam tetapi plastik,selesa","['Material:ringan', 'lembut', 'bila', 'pijak', 'Size:muat', 'Design:cantik', 'macam', 'jahit', 'sulam', 'tapi', 'plastik,selesa']",97
material:ringan tetapi lembut bila dipijak size:muat design:cantik macam jahit sulam tetapi plastik,"['Material:ringan', 'tapi', 'lembut', 'bila', 'dipijak', 'Size:muat', 'Design:cantik', 'MCM', 'jahit', 'sulam', 'tapi', 'plastik']",95
nice product ordered black colour but received grey colour… but lazy to chg.,"['Nice', 'product', 'Ordered', 'black', 'colour', 'but', 'received', 'grey', 'colour…', 'but', 'lazy', 'to', 'chg.']",76
barang sampai dalam hari sahaja. pantas. warna menarik. sesuai dengan harga boleh order lagi.,"['Barang', 'sampai', 'dalam', '2', 'hari', 'sahaja.', 'pantas.', 'warna', 'menarik.', 'sesuai', 'dengan', 'harga', 'boleh', 'order', 'lagi.']",96
barang sampai dalam hari sahaja. pantas. warna menarik. sesuai dengan harga boleh order lagi.,"['Barang', 'sampai', 'dalam', '2', 'hari', 'sahaja.', 'pantas.', 'warna', 'menarik.', 'sesuai', 'dengan', 'harga', 'boleh', 'order', 'lagi.']",96
"pantas. baru order, dalam hari sudah sampai. warna menarik. akan ulang order.","['Pantas.', 'Baru', 'order,', 'dlm', '2', 'hari', 'dah', 'sampai.', 'Warna', 'menarik.', 'Akan', 'ulang', 'order.']",75
barang sampai dalam hari sahaja. pantas. warna menarik. sesuai dengan harga boleh order lagi.,"['Barang', 'sampai', 'dalam', '2', 'hari', 'sahaja.', 'pantas.', 'warna', 'menarik.', 'sesuai', 'dengan', 'harga', 'boleh', 'order', 'lagi.']",96
light. good for indoor slipper. deliver took some times. overall is fine.,"['Light.', 'Good', 'for', 'indoor', 'slipper.', 'Deliver', 'took', 'some', 'times.', 'Overall', 'is', 'fine.']",73
very light. for indoor slipper which is fine. deliver took some times. packing is ok. price is ok too.,"['Very', 'light.', 'For', 'indoor', 'slipper', 'which', 'is', 'fine.', 'deliver', 'took', 'some', 'times.', 'Packing', 'is', 'ok.', 'Price', 'is', 'ok', 'too.']",102
cantikkkk...tp nipis..ingatkan tebal...tp ok la sesuai dengan harga dia lamnn,"['cantikkkk...tp', 'nipis..ingatkan', 'tebal...tp', 'ok', 'la', 'sesuai', 'dgn', 'harga', 'dia', 'lamnn']",74
size - fit my normal shoe size . fast delivery. price worth for the product. soft and different from the thicker version type.,"['size', '40-41', 'fit', 'my', 'normal', 'shoe', 'size', '8.', 'fast', 'delivery.', 'price', 'Worth', 'for', 'the', 'product.', 'soft', 'and', 'different', 'from', 'the', 'thicker', 'version', 'type.']",131
material: size:ok,"['Material:', 'Size:ok']",17
good good good good good good good good good good good good good,"['good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good']",64
good good good good good good good good good good good good good,"['good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good']",64
good good good good good good good good good good good good good,"['good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good']",64
good good good good good good good good good good good good good good,"['good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good']",69
good good good good good good good good good good good good good,"['good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good']",64
good good good good good good good good good good good good good,"['good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good']",64
good good good good good good good good good good good good good,"['good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good']",64
very nice my daughter love it..... thinking to order next time thank u seller..,"['very', 'nice', 'my', 'daughter', 'love', 'it.....', 'thinking', 'to', 'order', 'next', 'time', 'thank', 'u', 'seller..']",80
selipar sudah sampai..thumbs_up,"['selipar', 'dah', 'sampai..👍']",21
saiz:betul bahan:sama dan warna pun dapat sama,"['Saiz:betul', 'Bahan:sama', 'dan', 'warna', 'pun', 'dapat', 'sama']",46
saiz:betul bahan:warna xsama dalam pesanan dpt hitam,"['Saiz:betul', 'Bahan:warna', 'xsama', 'dalam', 'pesanan', 'dpt', 'hitam']",52
items received are in good condition but waiting for days to receive them.,"['Items', 'received', 'are', 'in', 'good', 'condition', 'but', 'waiting', 'for', '4', 'days', 'to', 'receive', 'them.']",76
brg telah diterima produk ok harga ok penghataran ok,"['brg', 'telah', 'diterima', 'produk', 'ok', 'harga', 'ok', 'penghataran', 'ok']",52
pesanan diterima terima kasih lazada,"['pesanan', 'diterima', 'terima', 'kasih', 'lazada']",36
pesanan diterima terima kasih lazada,"['pesanan', 'diterima', 'terima', 'kasih', 'lazada']",36
pesanan diterima terima kasih lazada,"['pesanan', 'diterima', 'terima', 'kasih', 'lazada']",36
pesanan diterima terima kasih lazada,"['pesanan', 'diterima', 'terima', 'kasih', 'lazada']",36
"overall okay, cuma tu lah terkecik plk. takpe lah semua je","['Overall', 'okay,', 'cuma', 'tu', 'lah', 'terkecik', 'plk.', 'Takpe', 'lah', 'semua', 'okay2', 'je']",64
good quality and fast delivery.,"['good', 'quality', 'and', 'fast', 'delivery.']",31
good quality and fast delivery.,"['good', 'quality', 'and', 'fast', 'delivery.']",31
material:soft and comfortable size:true to describe design:nice to wear,"['Material:soft', 'and', 'comfortable', 'Size:true', 'to', 'describe', 'Design:nice', 'to', 'wear']",71
material:soft size:true to fit as described design:comfortable,"['Material:soft', 'Size:true', 'to', 'fit', 'as', 'described', 'Design:comfortable']",62
material:soft size:true to size described design:confortable to wear,"['Material:soft', 'Size:true', 'to', 'size', 'described', 'Design:confortable', 'to', 'wear']",68
"received item today ... correct size choose. thank you seller, lazada and courier man. will buy from this buyer again. victory_hand️victory_hand️victory_hand️thumbs_upthumbs_upthumbs_up","['Received', 'item', 'today', '29.07.23.', 'Correct', 'size', 'choose.', 'Thank', 'you', 'seller,', 'lazada', 'and', 'courier', 'man.', 'Will', 'buy', 'from', 'this', 'buyer', 'again.', '✌️✌️✌️👍👍👍']",136
"received item today ... correct size choose. thank you seller, lazada and courier man. will buy from this buyer again. victory_hand️victory_hand️victory_hand️thumbs_upthumbs_upthumbs_up","['Received', 'item', 'today', '29.07.23.', 'Correct', 'size', 'choose.', 'Thank', 'you', 'seller,', 'lazada', 'and', 'courier', 'man.', 'Will', 'buy', 'from', 'this', 'buyer', 'again.', '✌️✌️✌️👍👍👍']",136
"size dengan kaki, kena pilih size besar dari asal jika kaki jenis lebar dan besar..penghantaran hari","['size', 'ngam2', 'dgn', 'kaki,', 'kena', 'pilih', '1', 'size', 'besar', 'dari', 'asal', 'jika', 'kaki', 'jenis', 'lebar', 'Dan', 'besar..penghantaran', '3', 'hari']",107
pesanan diterima terima kasih penjual lazada,"['pesanan', 'diterima', 'terima', 'kasih', 'penjual', 'lazada']",44
"barang telah diterima...ok slipper sedap pakai, ringan dan harga murah...tq seller.next bleh order lagi","['Barang', 'telah', 'diterima...Ok', 'slipper', 'sedap', 'pakai,', 'ringan', 'dan', 'harga', 'murah...tq', 'seller.next', 'bleh', 'order', 'lagi']",103
material:good size:exalted design:nice,"['Material:good', 'Size:exalted', 'Design:nice']",38
"item reveived well , material ok thin hopefully not slippery","['Item', 'reveived', 'well', ',', 'material', 'ok', 'thin', 'hopefully', 'not', 'slippery']",60
bahan:selipar nipis ja padan dengan harga. sebab tu beli dua . boleh la buat pakai dalam rumah ja.,"['Bahan:SELIPAR', 'NIPIS', 'JA', 'PADAN', 'DENGAN', 'HARGA.', 'SEBAB', 'TU', 'BELI', 'DUA', '.', 'BOLEH', 'LA', 'BUAT', 'PAKAI', 'DALAM', 'RUMAH', 'JA.']",98
selamat sampai...sandal tebal dan material lembut...saiz sesuai mengikut saiz kaki....puashati...,"['selamat', 'sampai...sandal', 'tebal', 'dan', 'material', 'lembut...saiz', 'sesuai', 'mengikut', 'saiz', 'kaki....puashati...']",97
